day,W=14|q=0.2,W=14|q=0.3,W=28|q=0.2,W=28|q=0.3
2024-08-20,0.010923949035775135,0.0019792908698237767,0.010542687815035055,0.00186017893309382
2024-08-21,0.007187483821346923,-0.002277089959751925,0.00686121960947521,-0.00832239506223141
2024-08-22,0.009358717152616821,0.01206324713141258,0.015785738713201904,0.006159087836420957
2024-08-23,0.0047618370025789315,-0.005510054830433961,0.009539581428991669,0.0052802067175219064
2024-08-24,-0.0013631982762494805,0.0002173759902006004,-0.0037446389383576245,-0.0014494179797466527
2024-08-25,-0.0058747762278155684,-0.00834153003728177,-0.001792992889677314,-0.008693286674894309
2024-08-26,-0.006106390135003378,-0.006805849158272582,-0.005643227499796611,-0.009190780411488235
2024-08-27,0.0011493872395395691,0.004028813966571986,-0.0020629353084149473,0.002666464895178291
2024-08-28,-0.0033544440996482894,-0.013181527762620094,-0.006101817961621103,-0.008888243093123884
2024-08-29,0.005819298240917315,0.00031732953672276387,0.0010111592037586456,0.0010838678905396772
2024-08-30,0.004172408224672041,0.0035368432232569568,0.003501757228043431,0.0008768824030712249
2024-08-31,-0.0038553117016309544,-0.006526295564650694,-0.003446707445352202,-0.003779046694994974
2024-09-01,0.003035201565591726,-0.004533827375001022,-0.00010085138049277997,-0.0029476917486117573
2024-09-02,0.0006604553073830232,0.005409490997805249,0.0036754289082451667,0.00207322278266437
2024-09-03,0.0027546316746648366,-0.005915886928117756,-0.006355325720847324,-0.006991365446183534
2024-09-04,0.006064690047038909,0.011345907225003013,0.006045272007480056,0.01184363097286982
2024-09-05,0.0011890351270470447,-0.016158257364984052,-0.0032814336729669134,-0.01503549569834522
2024-09-06,0.005756288528547787,0.004500102933496586,0.010033574167134903,0.004148199264383501
2024-09-07,0.008074078572135575,-0.00023591083867126946,0.005087039866996231,-0.00018974963195933904
2024-09-08,0.009999039023598636,0.011352824809106115,0.01488644475073502,0.011604239356709017
2024-09-09,-6.466584429978047e-07,0.009804953973799812,0.009321585702533055,0.010117617963131799
2024-09-10,0.02735907505190144,0.02080750968620574,0.02009892195476543,0.021814254228589836
2024-09-11,-0.01448902449989634,-0.006956783860392998,-0.005342632829674198,-0.0024579415294876056
2024-09-12,-0.013558223752914928,-0.02085880768284215,-0.016240966284198487,-0.012941401016671404
2024-09-13,0.010326433616003532,0.008364965830924963,-0.004049219963034443,0.0036065450819970832
2024-09-14,-0.001381616779734816,0.0005748316373558233,-0.004293453202479228,0.00445445719008825
2024-09-15,-0.013019855695172142,-0.01633539881207768,-0.0010876979818939825,-0.012385244518766086
2024-09-16,-0.012716991020580963,-0.0041529052113230686,-0.00459295921994198,-0.006999668559055309
2024-09-17,0.009902151707665887,-0.001064909747654327,-0.005165719729122182,0.01113979915102833
2024-09-18,0.002155569985525721,-0.0028232776050572312,0.0020302883033490116,0.007643019072083735
2024-09-19,-0.006781176807481122,0.0013508351253027338,-0.00600031884912698,0.005886841679437246
2024-09-20,0.0006164923359372158,0.002407833479074127,0.0005455464592703041,0.011335626697765827
2024-09-21,0.00024750738652195377,0.01629638614915227,0.00019336365257773084,0.016527042816392654
2024-09-22,-0.012800919194983534,-0.016389365847176502,-0.01285212320050163,-0.009000083305323831
2024-09-23,0.008460784584876292,0.02028324373876674,0.00852173699958956,0.01810620138424838
2024-09-24,-0.00030643062894228183,-0.006492714614561339,-0.00031326201299820415,0.006678226993526288
2024-09-25,0.005299514537128575,0.0030673532351425674,0.00520306601783399,0.006268292371987062
2024-09-26,0.011529911062175872,0.0028951981096219364,0.011337162595401478,0.0022012921743227573
2024-09-27,-0.002126717680417762,-0.0015154836646122374,-0.002129203212564459,0.00020912142843067152
2024-09-28,-0.020328291547841,-0.01954351729431808,-0.019920991494800266,-0.02410712576416786
2024-09-29,-0.0145749971043571,-0.0027633756327906395,-0.014282498092465819,-0.004545203169385761
2024-09-30,-0.0031897560480257073,0.0009259173259356664,-0.003139024187696946,-0.0008108381926833333
2024-10-01,-0.016085282381418445,-0.01357149520338557,-0.015851314598148952,-0.018436905262305597
2024-10-02,0.0001533191761674926,-0.006859078170329211,0.0001499031180275627,-0.00808989440679264
2024-10-03,0.014371300466960916,0.01791086278394635,0.014540754856162335,0.012311111952224955
2024-10-04,0.009360231245707475,0.002656809799233009,0.009480637857949663,0.016570042465543135
2024-10-05,-0.00055015849865832,0.0020163567644788725,-0.0005573092516631375,0.000216285098707442
2024-10-06,0.004648168185902785,-0.002222823006705189,0.0047936598970903105,0.0066828411200810294
2024-10-07,-0.01097185123735525,-0.016271530554985248,-0.01126583350705975,-0.01911447041841782
2024-10-08,-0.004831543141815292,-0.0039030781312090882,-0.005142803512183011,-0.0035301291664599577
2024-10-09,0.0071008412853576725,0.003243513395943177,0.002469187053703688,-3.8251151625109756e-05
2024-10-10,0.03196078580823146,0.020554784786482268,0.033366745168031495,0.01711583765011335
2024-10-11,-0.014890799464438106,-0.012016233215647182,-0.0011691272490628785,-0.0023145928739942362
2024-10-12,-0.021484104979288116,-0.013656244769623843,-0.0127532738925706,-0.00980936807324813
2024-10-13,-0.005597528574510057,-0.004521148960110596,0.0002820890398916016,-0.005734728304534117
2024-10-14,0.004893478881096902,0.002445584526294229,-0.0026469571951774407,0.0006027766188042641
2024-10-15,0.014198607201976658,0.00921017048250318,0.00508552228873339,0.005118583343776224
2024-10-16,-0.013224887498069939,-0.015193826876652505,-0.015393201990791357,-0.01542668512799965
2024-10-17,-0.004401500094467742,-0.006680348711264411,-0.0052383530714569,-0.006944448528645436
2024-10-18,-0.001930881433855228,-0.005466218403098165,-0.0022807462092716262,-0.005666134375618809
2024-10-19,0.007515714624316567,0.003439404470514759,0.008854592185218809,0.0035308374538454645
2024-10-20,0.001967483305250107,0.007458059276399336,0.0023178316285468424,0.007767704849096566
2024-10-21,-0.004787803984256949,-0.0019173542355985207,-0.005613206217876974,-0.002017393892642726
2024-10-22,0.006922739729807646,0.005899631288004177,0.008153040895703657,0.006025308369242822
2024-10-23,0.001258898397280455,-0.0029564273070944395,-0.00044150590554847965,-0.0030202425092063744
2024-10-24,-0.00773992070308776,-0.0016043651841688652,-0.005195085136570128,-0.0016205169258750815
2024-10-25,0.002194163313289757,0.0010364406622121291,0.005278029759899129,0.0010518659699384418
2024-10-26,-0.012839406149644076,-0.013352676662942282,-0.01308015896179267,-0.013558691999099572
2024-10-27,0.004496304650487802,0.005120151737594106,0.013524960271993102,0.005204012602264797
2024-10-28,-0.015718089237027145,-0.02022535293729266,-0.006028509909044289,-0.020768453610362992
2024-10-29,-0.0076168474542200534,-0.017319245158909077,-0.018003591256111638,-0.017797060877955764
2024-10-30,0.0023923228501976424,0.0019469039980844532,0.0028390766329565763,0.0019842262061536145
2024-10-31,-0.0033427918578762456,-0.0023463700258971065,-0.0039009329867950816,-0.0024229726201925807
2024-11-01,0.005002976640678549,0.0036677670699031104,0.005830302732450995,0.003806077693685937
2024-11-02,-0.008629079601557513,-0.00536400287481522,-0.010110110753143007,-0.005333025772807233
2024-11-03,0.0008003194702185404,-0.0038320107428208945,0.0009382107220195647,-0.004104195645231065
2024-11-04,-0.000995393222345467,0.0007811947395834199,-0.00116252791498464,0.0008296876783567145
2024-11-05,0.00322551268999339,0.0005041280284011756,0.0037579578300280764,0.000535071725458866
2024-11-06,-0.026656387057333374,-0.019463410781539958,-0.022838614775313383,-0.021546932197996704
2024-11-07,-0.0031332903735619877,-0.0014759890287692078,-0.010425679377626585,-0.001632434337338172
2024-11-08,0.016447135437860413,0.02859757382201136,0.02091472006042629,0.031038644351896797
2024-11-09,-0.031354310722583455,-0.03797166835837117,-0.017121584039898344,-0.04059218289470678
2024-11-10,-0.024757004423327574,-0.030162394687784568,-0.030368502758937523,-0.031092859001426155
2024-11-11,-0.025405122040818396,-0.02226517644892649,-0.03823142395061461,-0.022587068227061812
2024-11-12,0.010513692600153796,-0.003516647573694854,-0.021324437946820516,-0.0035637101526089367
2024-11-13,-0.02660413142090839,-0.023651245768955317,-0.024949616135719718,-0.0239018521303636
2024-11-14,0.018351042679981926,0.003195127297232511,0.009820723506292598,0.003198517869685507
2024-11-15,0.025470112077226877,0.011805499294548055,0.024906861208865698,0.01180549929454806
2024-11-16,0.06696571187332225,0.05659553097240564,0.04305350086589721,0.05659553097240567
2024-11-17,-0.012062822246186293,-0.014966709778496555,-0.008222837838439625,-0.01496670977849656
2024-11-18,0.029875157019239915,0.03416831131876068,0.03424606386487077,0.03416831131876069
2024-11-19,-0.00249615605566626,-0.0051190697009591045,-0.004727899545804504,-0.0051190697009591045
2024-11-20,-0.004906235450753442,-0.0007532516030048454,-0.006279000939164013,-0.0007532516030048455
2024-11-21,-0.0022200951845879786,-0.002932138472777469,-0.0028488845148546198,-0.002932138472777469
2024-11-22,0.014938341069098422,0.020980634373026837,0.019137558713591254,0.02098063437302684
2024-11-23,0.005245926097971368,0.022833683975165074,0.006713166741138233,0.02283368397516508
2024-11-24,0.0005950859982223364,0.003500296561137545,0.0007334388307979123,0.0035002965611375457
2024-11-25,-0.0019960846395624308,-0.004076607647240313,-0.002463601510892035,-0.004076607647240313
2024-11-26,0.009383659340727268,0.0032680620445089295,0.011609059415890693,0.0032680620445089304
2024-11-27,-0.001945333707737665,0.0011591310822958614,-0.005013663040634281,2.860107647353262e-06
2024-11-28,0.0015735944568668273,-0.00039144299879950657,0.004741759244883087,0.001875690930748049
2024-11-29,0.004056981636702397,0.0076594224870186,0.016677483083626928,0.01009022368540682
2024-11-30,0.002482160729112277,0.0018239948174277147,0.003649401006849445,-0.0007347743091645362
2024-12-01,-0.0020687365423403222,0.002098154558600862,0.009648261966515963,0.0019334299406508558
2024-12-02,0.011877415745416961,0.022205275634754083,0.03250783619262402,0.020316440396198274
2024-12-03,0.009877522117416515,0.0036333674836151685,0.003056473917046527,0.0026777131029491206
2024-12-04,-0.0055062052900801215,-0.0062320017498758255,-0.007254039796421243,-0.008088170218624307
2024-12-05,-0.0017772303751147456,-0.004758173014287586,-0.002266595272377923,-0.003198390012964116
2024-12-06,0.001373093892730086,0.003833233777378678,0.0029831572059085838,0.007637721549559168
2024-12-07,-0.0040116753959485284,-0.0038951051505656197,-0.0026883210635321383,-0.005941743240586377
2024-12-08,0.002626642756994942,0.0022829487908812302,0.0027917531899746446,0.0015692986289962548
2024-12-09,-0.01289565303169102,-0.010765927631665137,-0.014682967864000486,-0.012107969650074463
2024-12-10,0.0012439182314987686,0.002087447806182496,0.003591904725228727,0.002694136139976092
2024-12-11,0.007580724120899168,0.0037416294212910856,0.006299200555293217,0.003637033877968333
