enter_term_sys1,enter_term_sys2,leave_term_sys1,leave_term_sys2,win_rate,profit_loss_ratio,expectancy,mdd,final_whole_asset,positive_rate,median_asset,mean_asset,s1_return_median,s1_return_mean,s2_return_median,s2_return_mean,s1_max_consec_win,s1_max_consec_loss,s2_max_consec_win,s2_max_consec_loss,overall_max_consec_win,overall_max_consec_loss,final_win_count,final_loss_count,min_equity,min_realized_pnl,final_equity
21,55,8,20,0.2857142857142857,3.810043333846479,75.25389746928647,-0.25339303299233473,2107.10912914002,0.9365256124721604,2518.548780870019,2429.7426244668914,-0.03523310897726525,-0.009935505339171494,-0.033180703244246386,-0.005163836280309919,2,7,1,5,3,8,8,20,9985.478109759999,0.0,12107.10912914003
21,55,9,20,0.25,4.693991795550372,81.06178211785809,-0.2502459070501231,2269.7298993000227,0.9365256124721604,2603.975704790022,2542.9683826060123,-0.03523310897726525,0.009324205337159752,-0.033180703244246386,-0.0192425382737707,2,7,1,7,2,8,7,21,9985.478109759999,0.0,12269.729899300035
21,55,10,20,0.25,4.760709954525473,84.25441438464372,-0.24881843891601388,2359.123602770022,0.9365256124721604,2676.506932610011,2626.1582658154216,-0.03523310897726525,0.012571504334706067,-0.033180703244246386,-0.02094392992568275,2,7,1,7,2,8,7,21,9985.478109759999,0.0,12359.123602770034
21,55,11,20,0.2857142857142857,3.754972084490802,73.56080267750079,-0.2522367581923006,2059.7024749700195,0.9365256124721604,2461.22243016002,2405.275474487426,-0.040346274320141505,0.002103722354119891,-0.033180703244246386,-0.015686710090615116,2,7,1,5,3,8,8,20,9985.478109759999,0.0,12059.702474970032
21,55,12,20,0.2857142857142857,3.600884561726468,65.66516164214363,-0.2665621682461986,1838.6245259800198,0.9365256124721604,2313.718415730009,2325.82462606482,-0.04086810631064186,-0.0012200156130056127,-0.033180703244246386,-0.011051161961328245,2,7,1,5,2,8,8,20,9985.478109759999,0.0,11838.624525980027
21,55,13,20,0.2857142857142857,3.585714616733157,65.0342892400007,-0.26686763017877024,1820.9600987200192,0.9365256124721604,2304.8862021000086,2313.5930131249306,-0.04278106201050767,-0.0013632384183212716,-0.033180703244246386,-0.011051161961328245,2,7,1,5,2,8,8,20,9985.478109759999,0.0,11820.960098720025
21,55,14,20,0.2857142857142857,3.6544727080364208,70.46543783714364,-0.2653819614324392,1973.0322594400204,0.9365256124721604,2441.124394630019,2479.4714719549766,-0.04112944857073923,0.0026767136818599416,-0.033180703244246386,-0.013714604416340577,2,7,1,5,2,8,8,20,9985.478109759999,0.0,11973.032259440024
21,55,15,20,0.25,4.253088195482441,63.805380687143554,-0.2704483658056225,1786.5506592400166,0.9365256124721604,2422.542996125007,2399.8544951250738,-0.04086810631064186,-0.004538463616994383,-0.033180703244246386,-0.0016843812901028155,1,8,1,5,2,8,7,21,9985.478109759999,0.0,11786.55065924002
21,55,16,20,0.25,4.234869312023595,62.66700151500072,-0.2704483658056225,1754.676042420017,0.9365256124721604,2422.542996125007,2398.8251425611097,-0.04086810631064186,-0.00491250293414478,-0.033180703244246386,-0.0014162970658018368,1,8,1,5,2,8,7,21,9985.478109759999,0.0,11754.67604242002
21,55,17,20,0.25925925925925924,3.637614742623869,47.77591379555625,-0.29605950593192526,1289.9496724800197,0.9064587973273942,2056.369057520015,2024.2489073626914,-0.04442516478705512,-0.008233226027440371,-0.033180703244246386,0.01858054486514337,1,7,1,5,1,7,7,20,9686.058506530004,-259.7388656899966,11289.949672480023
