date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-10-22,NORMAL,46.72,1.162,62.55,-0.09160201133919352,-0.07334198489383131,0.0782081419510644
2024-10-23,NORMAL,54.1,1.14,63.24,-0.10374795243545146,-0.08526503111388674,0.08863887757435945
2024-10-24,NORMAL,40.44,1.036,61.9,-0.14826955423906701,-0.13021903516790895,0.12783117405728195
2024-10-25,NORMAL,66.39,1.187,65.52,-0.14015704965885367,-0.12093396424909712,0.119625313993799
2024-10-26,NORMAL,56.56,1.097,63.93,-0.13679617555564544,-0.11808984839306227,0.11719766805113307
2024-10-27,NORMAL,59.56,1.084,64.45,-0.13222019899923784,-0.11334516947296029,0.11306888028097625
2024-10-28,NORMAL,49.18,0.877,62.78,-0.14332403206770533,-0.12498976401240028,0.12323407696919725
2024-10-29,NORMAL,54.37,1.156,63.5,-0.11167898504828616,-0.09311194188932945,0.0954779354915733
2024-10-30,NORMAL,53.01,1.317,63.27,-0.15586264101813901,-0.13737001703487195,0.13399282323033893
2024-10-31,NORMAL,43.44,0.989,62.5,-0.20301243737169208,-0.1847685429140798,0.1753737931153498
2024-11-01,NORMAL,55.74,1.042,63.8,-0.19021449055333609,-0.17155029348058448,0.16367209607082722
2024-11-02,NORMAL,57.1,0.997,64.1,-0.19747457715262828,-0.17871312934697525,0.16985342617842583
2024-11-03,NORMAL,71.58,1.151,67.18,-0.20876513473169314,-0.18899961737452098,0.17825253956997636
2024-11-04,NORMAL,73.22,1.181,67.8,-0.2394560982630959,-0.2194872156804712,0.20438451075993136
2024-11-05,NORMAL,72.95,0.911,67.68,-0.2016620489030803,-0.1817325601208201,0.17190791899584532
2024-11-06,NORMAL,41.53,0.324,62.38,-0.16635828659624693,-0.14815309799747636,0.1434533867276173
2024-11-07,NORMAL,44.26,0.278,62.57,-0.13669842243894756,-0.11843194244943925,0.11752358035234498
2024-11-08,NORMAL,25.41,0.105,60.1,-0.09489227522990812,-0.07741958107705443,0.08159735683017869
2024-11-09,NORMAL,44.26,0.109,62.57,0.002507369632935106,0.020773849622443413,-0.0038499187223220155
2024-11-10,NORMAL,64.21,0.206,65.21,0.017930405965797612,0.03705252535370837,-0.017223080683120867
2024-11-11,NORMAL,74.59,0.155,68.19,0.02520549772515527,0.045302519009435924,-0.027594158935765528
2024-11-12,NORMAL,56.83,-0.288,64.19,-0.0376838425919135,-0.01889320066833198,0.031045924666646296
2024-11-13,NORMAL,39.07,-0.405,62.24,-0.03552496329814313,-0.0173649120731661,0.029338814362190463
2024-11-14,NORMAL,51.64,-0.563,63.4,-0.06746704770776422,-0.0489323676925556,0.0570327824980682
2024-11-15,NORMAL,50.55,-0.608,63.24,-0.07796350751494491,-0.05948058619338016,0.06619430979628935
2024-11-16,NORMAL,61.48,-0.557,64.85,-0.07018901296390309,-0.05118401393702158,0.05916887160626122
2024-11-17,NORMAL,62.84,-0.551,65.08,-0.036260476600532734,-0.017180666843922263,0.0297316532398626
2024-11-18,NORMAL,69.4,-0.443,66.79,0.004764523678055056,0.024402332737961652,-0.005818457046531278
2024-11-19,NORMAL,58.74,-0.571,64.56,0.023979863320307725,0.042890617241262995,-0.0748285534247162
2024-11-20,NORMAL,62.84,-0.529,65.1,0.024162951836147775,0.043249269576796666,-0.048483266615116066
2024-11-21,NORMAL,83.06,-0.308,72.13,0.026522281223298763,0.047923227291490095,-0.16080073285999494
2024-11-22,NORMAL,80.05,-0.437,70.49,0.025975876092624518,0.04683198653572621,-0.1553741808253354
2024-11-23,NORMAL,95.08,-0.004,78.41,0.028592499296928853,0.052107663975217426,-0.17806714363557874
2024-11-24,NORMAL,91.53,-0.187,76.32,0.02790739191316162,0.050713986854064134,-0.15942054520433865
2024-11-25,NORMAL,87.7,-0.274,74.93,0.02744961772785897,0.04978770937934116,-0.17314495293829038
2024-11-26,NORMAL,84.7,-0.413,73.52,0.02698350939871971,0.04884858277236387,-0.14423721964305852
2024-11-27,NORMAL,87.7,-0.451,74.98,0.027466114029102248,0.04982102046093348,-0.09958801884442851
2024-11-28,NORMAL,79.51,-0.52,71.3,0.026246048373141366,0.047370881168844865,-0.12821160978642684
2024-11-29,NORMAL,68.58,-1.052,67.32,0.02491284533155608,0.044724247163647354,-0.07860697488029515
2024-11-30,NORMAL,78.96,-0.745,70.91,0.026116038977030964,0.04711139614398083,-0.06360734195161895
2024-12-01,NORMAL,87.16,-0.399,74.84,0.02741991880848636,0.0497277509595805,-0.08078801182180906
2024-12-02,NORMAL,77.87,-0.902,70.64,0.02602595246636008,0.046931771454560914,-0.11006986856929196
2024-12-03,NORMAL,77.32,-0.718,70.41,0.02594916041937591,0.04677876982060031,-0.08426891912919651
2024-12-04,NORMAL,84.15,0.158,73.75,0.027059661749605148,0.04900174166221065,-0.10318620424374542
2024-12-05,NORMAL,79.51,-0.019,71.62,0.02635262086393628,0.0475838162085547,-0.09832388409479838
2024-12-06,NORMAL,77.6,-0.042,70.67,0.026035965313645902,0.046951729000212244,-0.0757775634957315
2024-12-07,NORMAL,83.06,0.429,73.16,0.02686421991430898,0.048608880339918295,-0.08883098050753316
2024-12-08,NORMAL,81.42,0.367,72.72,0.02671826485199029,0.010228242013661099,-0.00520774536865054
2024-12-09,NORMAL,87.98,0.795,75.07,0.027495801795735113,0.04363669554440695,-0.043146056763479684
2024-12-10,RICH,80.33,1.007,72.28,0.02657213705007599,0.048023064935276784,-0.06508776057212208
2024-12-11,NORMAL,80.87,0.555,72.67,0.026701668124483994,-0.024305570115379975,0.033686937751982615
2024-12-12,RICH,80.05,1.06,72.29,0.026575460056815107,-0.008530892024168908,0.015940135745821954
2024-12-13,RICH,82.51,1.151,73.1,0.02684432711295595,-0.03956124683285933,0.05086605626325161
2024-12-14,NORMAL,80.33,0.956,72.51,0.026648543602011632,-0.028172614376330563,0.03804486001578669
2024-12-15,NORMAL,83.61,0.975,73.58,0.027003379765265723,-0.04158130655245243,0.05314111507704586
2024-12-16,NORMAL,76.23,0.732,71.31,0.026249380152976863,-0.002698440703933616,0.00942717603545512
2024-12-17,NORMAL,77.87,0.498,71.74,0.0263925618938574,0.03422707373849153,-0.03212754945837737
2024-12-18,NORMAL,83.61,0.399,73.62,0.02701662489724398,0.048915172085016834,-0.05329980034575153
2024-12-19,NORMAL,85.79,0.045,74.45,0.02729114057852277,0.049467953697338966,-0.14371525130489174
2024-12-20,NORMAL,75.68,-0.445,71.53,0.026322656626721456,0.04752392600226932,-0.12984850819429505
2024-12-21,NORMAL,81.69,-0.567,73.14,0.026857589336896324,0.048595564409535615,-0.1517031731040638
2024-12-22,NORMAL,95.08,0.011,78.52,0.028628451542809942,0.05218104746897584,-0.1838909520921785
2024-12-23,NORMAL,86.07,-0.523,74.64,0.027353895526943957,0.049594517030133164,-0.12786072932482512
2024-12-24,NORMAL,79.51,-0.765,72.97,0.026801215038146906,0.048482382681285525,-0.14371933568088227
2024-12-25,NORMAL,83.06,-0.426,73.93,0.027119226436880722,0.04912161373813542,-0.13816365346450635
2024-12-26,NORMAL,87.98,-0.358,75.1,0.027505696125238968,0.04990096953625374,-0.17417582685995128
2024-12-27,NORMAL,83.33,-0.227,74.07,0.02716553462607507,0.04921485282635562,-0.0929623870464254
2024-12-28,NORMAL,89.07,-0.123,75.63,0.02768036473832648,0.05025412014443677,-0.11612734015574115
2024-12-29,NORMAL,86.61,-0.185,75.02,0.027479309476971893,0.049847669763383465,-0.09526044267962103
2024-12-30,NORMAL,83.61,-0.271,74.38,0.027268012266198228,0.049421327275945344,-0.12860923672956018
2024-12-31,NORMAL,69.67,-0.599,70.35,0.025929119885902772,0.04673885815219814,-0.13813763565692241
2025-01-01,NORMAL,71.86,-0.403,71.11,0.026182727513319293,0.047244461357201464,-0.12827029602541523
2025-01-02,NORMAL,73.22,-0.318,71.61,0.02634929186259869,0.04757716165481852,-0.06528492504270389
2025-01-03,NORMAL,66.12,-0.797,69.01,0.02548070260167195,-0.09246705113630138,0.20408602946056628
2025-01-04,NORMAL,71.58,-0.559,71.26,0.026232720356963005,-0.09191344376248223,0.17116391497670996
2025-01-05,NORMAL,71.31,-0.533,71.26,0.026232720356962995,-0.08992284859729624,0.15198061937466772
2025-01-06,NORMAL,66.12,-0.54,68.91,0.025447173618781932,-0.08476982928498898,0.12903878933743923
2025-01-07,NORMAL,69.95,-1.153,70.57,0.026002586009618526,-0.05347627496569091,0.0664863171793924
2025-01-08,NORMAL,67.21,-0.755,69.19,0.02554103198700046,-0.06934941518065192,0.08423159540678046
2025-01-09,NORMAL,68.58,-0.665,69.99,0.02580880863069145,-0.05738653927730486,0.07085564872559583
2025-01-10,NORMAL,63.11,-0.873,67.84,0.025087846650301584,-0.05143352032316514,0.06409882297055353
2025-01-11,NORMAL,66.67,-0.727,69.1,0.02551087095519681,-0.027995558239555497,0.03787876447634675
2025-01-12,NORMAL,68.03,-0.484,69.71,0.025715152485326898,-0.04301347157125928,0.054722470956461794
2025-01-13,NORMAL,72.95,-0.261,71.44,0.026292685131383484,-0.004137777587011678,0.011038811552164046
2025-01-14,NORMAL,73.22,-0.207,71.55,0.026329315973265235,-0.017201287092369212,0.02572299106146672
2025-01-15,NORMAL,71.58,-0.371,71.3,0.026246048373141304,-0.06921200233414604,0.08419545434085399
2025-01-16,NORMAL,72.4,0.546,71.36,0.026266037707060468,-0.0664409027287725,0.0810832148434259
2025-01-17,NORMAL,69.67,0.631,70.8,0.026079344971797473,-0.04432725575577736,0.056215666060958985
2025-01-18,NORMAL,77.32,1.257,72.65,0.026695028808817165,-0.03895033158845154,0.050179438302090124
2025-01-19,RICH,90.98,1.527,76.29,0.027897529894116733,-0.052479002747759414,0.0654428795467458
2025-01-20,NORMAL,79.51,1.087,73.15,0.026860904670146384,-0.007943883585131914,0.015236599583315608
2025-01-21,NORMAL,69.4,0.948,71.09,0.026176060275463896,-0.014044088146790805,0.022188208124784503
2025-01-22,NORMAL,63.66,0.74,69.1,0.025510870955196812,-0.028410533548081277,0.03834384721540976
2025-01-23,NORMAL,62.3,0.484,68.41,0.02527939295923204,-0.023143672838167158,0.032445691480105815
2025-01-24,NORMAL,52.46,0.113,65.93,0.02444384447377089,-0.03980727457192664,0.05103718011354508
2025-01-25,NORMAL,56.01,0.298,67.08,0.024831992553459737,-0.09447773788844431,0.24944162981760737
2025-01-26,NORMAL,56.56,-0.56,67.21,0.024875794315495737,-0.06235373002792295,0.07627881694482064
2025-01-27,NORMAL,58.74,-0.661,67.79,0.02507103027695609,-0.08995552211616573,0.19447049339319378
2025-01-28,NORMAL,52.46,-0.839,66.26,0.024555349579816314,-0.10229927346289154,0.3408199110926172
2025-01-29,NORMAL,49.18,-0.893,65.24,0.02421037555784305,-0.09455807084512909,0.2757809027158033
2025-01-30,NORMAL,50.55,-0.852,65.71,0.02436945242948305,-0.09772662837940155,0.3018477254329347
2025-01-31,NORMAL,40.71,-0.732,64.23,0.02386784403199165,-0.08783865371374683,0.21962263128491205
2025-02-01,NORMAL,50.82,-0.833,65.83,0.024410035396002196,-0.10100164641982472,0.333869467778134
2025-02-02,NORMAL,59.29,-3.216,67.84,0.025087846650301553,-0.01744005640196003,0.026066469946743998
2025-02-03,NORMAL,68.58,-2.883,70.91,0.026116038977030968,-0.007222614076974783,0.014529977401874145
2025-02-04,NORMAL,69.13,-2.246,71.08,0.026172726521915653,-0.07327307095366219,0.0887479715830777
2025-02-05,NORMAL,65.03,-2.379,69.77,0.025735227609697934,-0.0888096561568325,0.15871189197294436
2025-02-06,NORMAL,65.03,-2.389,69.79,0.025741918596392622,-0.06115922420028033,0.07507990537714551
2025-02-07,NORMAL,64.75,-2.333,69.78,0.025738573148130807,-0.082831355927662,0.09994975399496836
2025-02-08,NORMAL,64.48,-2.25,69.78,0.025738573148130828,-0.09618930065249577,0.23098150281273327
2025-02-09,NORMAL,69.67,-2.022,71.12,0.026186060997632942,-0.09570982706723115,0.2094731112662605
2025-02-10,NORMAL,62.84,-2.228,69.22,0.025551084037628364,-0.1008378328746043,0.28411743830740616
2025-02-11,NORMAL,65.57,-2.081,70.26,0.025899053011373133,-0.09519779865750871,0.21519985434416009
2025-02-12,NORMAL,62.84,-1.969,69.47,0.025634819511097213,-0.09586256455304967,0.23175133327529784
2025-02-13,NORMAL,61.48,-1.978,69.18,0.025537681122737393,-0.09591733603761997,0.23603951209322294
2025-02-14,NORMAL,51.37,-2.134,66.83,0.02474771514040294,-0.09509842181032709,0.2591488973907742
2025-02-15,NORMAL,47.54,-2.167,65.91,0.024437083389750328,-0.0936777276554416,0.2572751389021224
2025-02-16,NORMAL,50.0,-1.938,66.67,0.02469374770776834,-0.09188614685939636,0.22859190303088794
2025-02-17,NORMAL,54.1,-1.764,67.43,0.024949885339997088,-0.08700844156772512,0.16930415043345942
2025-02-18,NORMAL,54.64,-1.723,67.61,0.02501047253058136,-0.09109907192637995,0.20828382937984266
2025-02-19,NORMAL,41.26,-1.921,64.92,0.024101952068141728,-0.08891661851499028,0.2215128174088887
2025-02-20,NORMAL,22.95,-1.89,62.65,0.02333011912378959,-0.08606438053629516,0.22265386394307538
2025-02-21,NORMAL,33.06,-1.739,63.91,0.023759123598630943,-0.08021166772470706,0.14340040144667016
2025-02-22,NORMAL,44.81,-1.753,65.49,0.02429501609872668,-0.08929726632034855,0.2177762691056979
2025-02-23,NORMAL,50.55,-1.264,66.83,0.0247477151404031,-0.08479980182898275,0.15435777028003342
2025-02-24,NORMAL,40.16,-2.288,64.89,0.024091782550163268,-0.005664302229938974,0.012956535613874581
2025-02-25,NORMAL,41.26,-2.353,65.04,0.024142621882381716,-0.0816556233316289,0.14427525066326105
2025-02-26,NORMAL,47.27,-2.249,66.16,0.024521570660949184,-0.07809740614305492,0.0939261118729493
2025-02-27,NORMAL,47.54,-2.576,66.21,0.024538461262086603,0.01777689708318126,-0.013234655022112851
2025-02-28,NORMAL,39.34,-2.734,64.87,0.024085002412657677,-0.06910277330081663,0.08364061183633292
2025-03-01,NORMAL,48.09,-2.446,66.24,0.02454859452670698,-0.028832036742575652,0.03879509118097568
2025-03-02,NORMAL,57.92,-1.4,68.17,0.025198777800617404,-0.08262181662823118,0.11629318278517065
2025-03-03,NORMAL,82.79,-1.691,74.25,0.02722504815484725,0.034656678933608256,-0.032899857455121556
2025-03-04,NORMAL,78.14,-1.873,73.05,0.02682774732817631,-0.02850877976986911,0.03841302272928043
2025-03-05,NORMAL,72.95,-1.927,71.62,0.02635262086393622,-0.07387829028893474,0.08945885594659575
2025-03-06,NORMAL,76.78,-1.801,72.65,0.026695028808817172,-0.03470693434905301,0.04540079283145121
2025-03-07,NORMAL,62.84,-1.921,69.48,0.02563816775616857,-0.10268398032175842,0.29878005803516305
2025-03-08,NORMAL,62.3,-1.892,69.24,0.02555778495294504,-0.09483750728646112,0.22459941355189425
2025-03-09,NORMAL,93.99,-1.41,77.95,0.028442038875678637,-0.1046971696914087,0.21207313005608425
2025-03-10,NORMAL,87.16,-1.695,74.95,0.027456216513899144,-0.006573706846822451,0.013587157695808844
2025-03-11,NORMAL,81.15,-1.734,73.28,0.026903995896586184,-0.04355001782841669,0.055360892552048874
2025-03-12,NORMAL,88.52,-1.547,75.05,0.02748920513368419,0.0021941136333431324,0.003675564262714731
2025-03-13,NORMAL,85.25,-1.558,74.34,0.027254794136482585,0.010016490904715215,-0.005100137023262757
2025-03-14,NORMAL,75.96,-1.659,72.23,0.026555520675829187,0.00574302250799693,-0.00012241677703639375
2025-03-15,NORMAL,77.05,-1.614,72.42,0.02661865101359376,0.00782747258302123,-0.0024820693302912977
2025-03-16,NORMAL,78.14,-1.562,72.67,0.026701668124483994,-0.030696145469277056,0.04088379172160947
2025-03-17,NORMAL,61.2,-1.723,69.15,0.025527627987741282,-0.014828377204726628,0.02312060566538801
2025-03-18,NORMAL,54.64,-1.772,67.45,0.024956618704690015,-0.045865977120775905,0.057856603789699146
2025-03-19,NORMAL,59.56,-1.742,68.44,0.025289466183183503,-0.07448575159933782,0.08993512169099141
2025-03-20,NORMAL,44.26,-1.839,65.47,0.02428824696233024,-0.0653377235439429,0.07949157321622285
2025-03-21,NORMAL,32.51,-1.856,64.09,0.023820290439606404,-0.04024372455897013,0.05145357251677446
2025-03-22,NORMAL,49.45,-1.568,66.48,0.024629631061361335,-0.06604625229727773,0.08035604458002171
2025-03-23,NORMAL,33.06,-1.682,64.13,0.023833879020627956,0.005558510579596138,0.0004749568999651288
2025-03-24,CHEAP,18.31,-1.131,62.5,0.023278949456820137,-0.011710433982160498,0.01969303962148289
2025-03-25,CHEAP,13.93,-1.044,61.88,0.023067227084948738,-0.008313672258767765,0.015919798095112875
2025-03-26,CHEAP,15.57,-0.943,62.0,0.02310823341601363,0.027287194882631483,-0.02358622010159811
2025-03-27,CHEAP,9.29,-0.62,61.31,0.022872264472926656,0.04073300572095942,-0.08946507325812836
2025-03-28,NORMAL,35.52,-0.29,64.2,0.023857655494633336,0.042651541747805014,-0.11282169253061218
2025-03-29,NORMAL,75.68,0.105,71.49,0.026309336858330756,0.047497308693395954,-0.16350408776464945
2025-03-30,NORMAL,77.87,0.415,71.67,0.026369264527025194,0.047617089301681445,-0.17111374557849146
2025-03-31,NORMAL,62.84,1.088,68.64,0.025356600174319156,0.04560168095227518,-0.14071464705644615
2025-04-01,NORMAL,51.64,1.222,66.55,0.024653256814923055,0.0442125585326984,-0.13304100605926497
2025-04-02,NORMAL,63.66,1.436,68.99,0.025473997528564926,0.04583438938962942,-0.15910947361826827
