date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-08-03,NORMAL,41.53,-0.451,51.45,0.01945140953411951,0.03419474767160905,-0.10285798184703304
2024-08-04,NORMAL,63.93,-2.025,56.13,0.021086576731282943,0.0372969398919832,-0.06327208217421011
2024-08-05,NORMAL,80.05,-1.617,63.08,0.02347669017319349,0.04190788027578163,-0.1316197398333044
2024-08-06,NORMAL,77.87,-1.691,61.54,0.02295096991158846,0.040885648222414264,-0.1262574125692188
2024-08-07,NORMAL,77.05,-1.731,60.88,0.022724987572453986,0.040447649674638264,-0.09214270885707801
2024-08-08,NORMAL,66.12,-2.429,56.81,0.0213224304357533,0.02242848986819715,-0.0180156664745717
2024-08-09,NORMAL,54.37,-2.513,55.02,0.0207006386932576,0.028059872958979618,-0.024166928717228836
2024-08-10,NORMAL,64.21,-2.242,56.28,0.021138640899689868,0.03739639903824957,-0.06402464405009531
2024-08-11,NORMAL,67.76,-2.085,57.11,0.021426344572173545,0.037946779212706144,-0.10213716306204415
2024-08-12,NORMAL,69.4,-2.006,57.48,0.02155438835370455,0.03819215178826703,-0.11876801630252563
2024-08-13,NORMAL,66.67,-1.958,56.92,0.02136054215539117,0.037820782530476,-0.08761052446275798
2024-08-14,NORMAL,56.56,-2.202,55.31,0.020801582244902223,0.03675326671871462,-0.09728003442673758
2024-08-15,NORMAL,59.84,-2.102,55.64,0.020916351855740534,0.03697205466822233,-0.1049278505572323
2024-08-16,NORMAL,43.17,-2.1,53.12,0.02003730178225196,0.035301539649081615,-0.12116241579299304
2024-08-17,NORMAL,45.08,-1.993,53.71,0.020243654330264642,0.03569260734373309,-0.11354248928337853
2024-08-18,NORMAL,56.28,-1.811,55.32,0.02080506163141277,0.03675989651445741,-0.10054021126172183
2024-08-19,NORMAL,44.54,-2.03,53.68,0.0202331698611377,0.035672721925319006,-0.11028125271507294
2024-08-20,NORMAL,48.09,-1.962,54.06,0.020365909612101944,0.03592460896561337,-0.06993998069726855
2024-08-21,NORMAL,51.09,-1.851,54.68,0.020582189213140287,0.03633560699086387,-0.09786899397013
2024-08-22,NORMAL,47.27,-1.728,53.99,0.02034146791374447,0.035878207885639585,-0.09973803151987665
2024-08-23,NORMAL,57.65,-1.77,55.43,0.020843328613433437,0.0368328248502716,-0.12013049823824909
2024-08-24,NORMAL,54.37,-1.759,55.14,0.02074241813506204,0.036640561530225914,-0.12723416789539124
2024-08-25,NORMAL,48.36,-1.727,54.2,0.020414778980134923,0.03601741227767187,-0.12648624493210944
2024-08-26,NORMAL,36.07,-1.803,51.58,0.01949711415075324,0.03428089887089199,-0.10928871107439479
2024-08-27,NORMAL,40.16,-1.947,52.69,0.019886699268444174,0.035016539843209155,-0.021323737050472177
2024-08-28,NORMAL,40.44,-1.859,52.91,0.019963773856983103,0.035162352098694755,-0.03156668309532479
2024-08-29,NORMAL,40.44,-1.799,52.98,0.019988287860036237,0.035208747606020586,-0.03260195742184942
2024-08-30,NORMAL,36.34,-1.734,51.96,0.019630618968249875,0.034532731221724004,-0.03954878786507825
2024-08-31,NORMAL,30.6,-1.763,50.48,0.019109868215992476,0.03355195689570318,-0.0342279862320906
2024-09-01,NORMAL,49.18,-0.274,54.36,0.020470606792753608,0.03612347510981068,-0.06259488039479746
2024-09-02,NORMAL,39.89,-0.131,52.92,0.01996727614491541,0.03516898000748065,-0.09748087710778686
2024-09-03,NORMAL,55.46,-0.088,55.29,0.020794623186851418,0.0367400071536038,-0.05604305124597346
2024-09-04,NORMAL,60.38,-0.052,55.73,0.02094763471832656,0.037031725807960984,-0.05413951856522957
2024-09-05,NORMAL,64.48,0.312,56.79,0.02131549980390839,0.03773457636811339,-0.036087638555323695
2024-09-06,NORMAL,74.59,0.45,59.46,-0.005438550386726235,0.011829523220488268,0.0031454582200156345
2024-09-07,NORMAL,73.77,0.417,58.84,0.014918495408894557,0.03198875545640558,-0.014752218234399678
2024-09-08,NORMAL,74.32,0.581,59.32,0.022189233448860507,0.03941260402493491,-0.025117591051775565
2024-09-09,NORMAL,73.22,0.406,58.82,0.022017035767361977,0.039080921480551034,-0.08180192463578585
2024-09-10,NORMAL,66.39,0.372,57.18,0.021450578977079183,0.037993199968326063,-0.07248370436571082
2024-09-11,NORMAL,49.45,0.358,54.84,0.020637943849273418,0.03644167610365698,-0.057876209163769524
2024-09-12,NORMAL,43.17,0.311,53.96,0.020330991468248058,0.03585832182513477,-0.05398490208134944
2024-09-13,NORMAL,35.79,0.123,52.51,0.01982360371262566,0.03489724134135164,-0.057733294597458615
2024-09-14,NORMAL,35.25,0.132,52.48,0.019813084763806967,0.034877358467207534,-0.04304630266513579
